Invoice ID,City,Customer type,Product category,Unit price,Quantity,Total,Payment,gross income
750-67-8428,Yangon,Member,Health and beauty,74.69,7,548.9715,Ewallet,26.1415
226-31-3081,Naypyitaw,Normal,Electronic accessories,15.28,5,80.22,Cash,3.82
631-41-3108,Yangon,Normal,Home and lifestyle,46.33,7,340.5255,Credit card,16.2155
123-19-1176,Yangon,Member,Health and beauty,58.22,8,489.048,Ewallet,23.288
373-73-7910,Yangon,Normal,Sports and travel,86.31,7,634.3785,Ewallet,30.2085
699-14-3026,Naypyitaw,Normal,Electronic accessories,85.39,7,627.6165,Ewallet,29.8865
355-53-5943,Yangon,Member,Electronic accessories,68.84,6,433.692,Ewallet,20.652
315-22-5665,Naypyitaw,Normal,Home and lifestyle,73.56,10,772.38,Ewallet,36.78
665-32-9167,Yangon,Member,Health and beauty,36.26,2,76.146,Credit card,3.626
692-92-5582,Mandalay,Member,Food and beverages,54.84,3,172.746,Credit card,8.226
351-62-0822,Mandalay,Member,Fashion accessories,14.48,4,60.816,Ewallet,2.896
529-56-3974,Mandalay,Member,Electronic accessories,25.51,4,107.142,Cash,5.102
365-64-0515,Yangon,Normal,Electronic accessories,46.95,5,246.4875,Ewallet,11.7375
252-56-2699,Yangon,Normal,Food and beverages,43.19,10,453.495,Ewallet,21.595
829-34-3910,Yangon,Normal,Health and beauty,71.38,10,749.49,Cash,35.69
299-46-1805,Mandalay,Member,Sports and travel,93.72,6,590.436,Cash,28.116
656-95-9349,Yangon,Member,Health and beauty,68.93,7,506.6355,Credit card,24.1255
765-26-6951,Yangon,Normal,Sports and travel,72.61,6,457.443,Credit card,21.783
329-62-1586,Yangon,Normal,Food and beverages,54.67,3,172.2105,Credit card,8.2005
319-50-3348,Mandalay,Normal,Home and lifestyle,40.3,2,84.63,Ewallet,4.03
300-71-4605,Naypyitaw,Member,Electronic accessories,86.04,5,451.71,Ewallet,21.51
371-85-5789,Mandalay,Normal,Health and beauty,87.98,3,277.137,Ewallet,13.197
273-16-6619,Mandalay,Normal,Home and lifestyle,33.2,2,69.72,Credit card,3.32
636-48-8204,Yangon,Normal,Electronic accessories,34.56,5,181.44,Ewallet,8.64
549-59-1358,Yangon,Member,Sports and travel,88.63,3,279.1845,Ewallet,13.2945
227-03-5010,Yangon,Member,Home and lifestyle,52.59,8,441.756,Credit card,21.036
649-29-6775,Mandalay,Normal,Fashion accessories,33.52,1,35.196,Cash,1.676
189-17-4241,Yangon,Normal,Fashion accessories,87.67,2,184.107,Credit card,8.767
145-94-9061,Mandalay,Normal,Food and beverages,88.36,5,463.89,Cash,22.09
848-62-7243,Yangon,Normal,Health and beauty,24.89,9,235.2105,Cash,11.2005
871-79-8483,Mandalay,Normal,Fashion accessories,94.13,5,494.1825,Credit card,23.5325
149-71-6266,Mandalay,Member,Sports and travel,78.07,9,737.7615,Cash,35.1315
640-49-2076,Mandalay,Normal,Sports and travel,83.78,8,703.752,Cash,33.512
595-11-5460,Yangon,Normal,Health and beauty,96.58,2,202.818,Credit card,9.658
183-56-6882,Naypyitaw,Member,Food and beverages,99.42,4,417.564,Ewallet,19.884
232-16-2483,Naypyitaw,Member,Sports and travel,68.12,1,71.526,Ewallet,3.406
129-29-8530,Yangon,Member,Sports and travel,62.62,5,328.755,Ewallet,15.655
272-65-1806,Yangon,Normal,Electronic accessories,60.88,9,575.316,Ewallet,27.396
333-73-7901,Naypyitaw,Normal,Health and beauty,54.92,8,461.328,Ewallet,21.968
777-82-7220,Mandalay,Member,Home and lifestyle,30.12,8,253.008,Cash,12.048
280-35-5823,Mandalay,Member,Home and lifestyle,86.72,1,91.056,Ewallet,4.336
554-53-8700,Naypyitaw,Member,Home and lifestyle,56.11,2,117.831,Cash,5.611
354-25-5821,Mandalay,Member,Sports and travel,69.12,6,435.456,Cash,20.736
228-96-1411,Naypyitaw,Member,Food and beverages,98.7,8,829.08,Cash,39.48
617-15-4209,Naypyitaw,Member,Health and beauty,15.37,2,32.277,Cash,1.537
132-32-9879,Mandalay,Member,Electronic accessories,93.96,4,394.632,Cash,18.792
370-41-7321,Mandalay,Member,Health and beauty,56.69,9,535.7205,Credit card,25.5105
727-46-3608,Mandalay,Member,Food and beverages,20.01,9,189.0945,Ewallet,9.0045
669-54-1719,Mandalay,Member,Electronic accessories,18.93,6,119.259,Credit card,5.679
574-22-5561,Naypyitaw,Member,Fashion accessories,82.63,10,867.615,Ewallet,41.315
326-78-5178,Naypyitaw,Member,Food and beverages,91.4,7,671.79,Cash,31.99
162-48-8011,Yangon,Member,Food and beverages,44.59,5,234.0975,Cash,11.1475
616-24-2851,Mandalay,Member,Fashion accessories,17.87,4,75.054,Ewallet,3.574
778-71-5554,Naypyitaw,Member,Fashion accessories,15.43,1,16.2015,Credit card,0.7715
242-55-6721,Mandalay,Normal,Home and lifestyle,16.16,2,33.936,Ewallet,1.616
399-46-5918,Naypyitaw,Normal,Electronic accessories,85.98,8,722.232,Cash,34.392
106-35-6779,Yangon,Member,Home and lifestyle,44.34,2,93.114,Cash,4.434
635-40-6220,Yangon,Normal,Health and beauty,89.6,8,752.64,Ewallet,35.84
817-48-8732,Yangon,Member,Home and lifestyle,72.35,10,759.675,Cash,36.175
120-06-4233,Naypyitaw,Normal,Electronic accessories,30.61,6,192.843,Cash,9.183
285-68-5083,Naypyitaw,Member,Sports and travel,24.74,3,77.931,Credit card,3.711
803-83-5989,Naypyitaw,Normal,Home and lifestyle,55.73,6,351.099,Ewallet,16.719
347-34-2234,Mandalay,Member,Sports and travel,55.07,9,520.4115,Ewallet,24.7815
199-75-8169,Yangon,Member,Sports and travel,15.81,10,166.005,Credit card,7.905
853-23-2453,Mandalay,Member,Health and beauty,75.74,4,318.108,Cash,15.148
877-22-3308,Yangon,Member,Health and beauty,15.87,10,166.635,Cash,7.935
838-78-4295,Naypyitaw,Normal,Health and beauty,33.47,2,70.287,Ewallet,3.347
109-28-2512,Mandalay,Member,Fashion accessories,97.61,6,614.943,Ewallet,29.283
232-11-3025,Yangon,Normal,Sports and travel,78.77,10,827.085,Cash,39.385
382-03-4532,Yangon,Member,Health and beauty,18.33,1,19.2465,Cash,0.9165
393-65-2792,Naypyitaw,Normal,Food and beverages,89.48,10,939.54,Credit card,44.74
796-12-2025,Naypyitaw,Normal,Fashion accessories,62.12,10,652.26,Cash,31.06
510-95-6347,Mandalay,Member,Food and beverages,48.52,3,152.838,Ewallet,7.278
841-35-6630,Naypyitaw,Normal,Electronic accessories,75.91,6,478.233,Cash,22.773
287-21-9091,Yangon,Normal,Home and lifestyle,74.67,9,705.6315,Ewallet,33.6015
732-94-0499,Naypyitaw,Normal,Electronic accessories,41.65,10,437.325,Credit card,20.825
263-10-3913,Naypyitaw,Member,Fashion accessories,49.04,9,463.428,Credit card,22.068
381-20-0914,Yangon,Member,Fashion accessories,20.01,9,189.0945,Credit card,9.0045
829-49-1914,Naypyitaw,Member,Food and beverages,78.31,10,822.255,Ewallet,39.155
756-01-7507,Naypyitaw,Normal,Health and beauty,20.38,5,106.995,Cash,5.095
870-72-4431,Naypyitaw,Normal,Health and beauty,99.19,6,624.897,Credit card,29.757
847-38-7188,Mandalay,Normal,Food and beverages,96.68,3,304.542,Ewallet,14.502
480-63-2856,Naypyitaw,Normal,Food and beverages,19.25,8,161.7,Ewallet,7.7
787-56-0757,Naypyitaw,Member,Food and beverages,80.36,4,337.512,Credit card,16.072
360-39-5055,Naypyitaw,Member,Sports and travel,48.91,5,256.7775,Cash,12.2275
730-50-9884,Naypyitaw,Normal,Sports and travel,83.06,7,610.491,Ewallet,29.071
362-58-8315,Naypyitaw,Normal,Fashion accessories,76.52,5,401.73,Cash,19.13
633-44-8566,Yangon,Member,Food and beverages,49.38,7,362.943,Credit card,17.283
504-35-8843,Yangon,Normal,Sports and travel,42.47,1,44.5935,Cash,2.1235
318-68-5053,Mandalay,Normal,Health and beauty,76.99,6,485.037,Cash,23.097
565-80-5980,Naypyitaw,Member,Home and lifestyle,47.38,4,198.996,Cash,9.476
225-32-0908,Naypyitaw,Normal,Sports and travel,44.86,10,471.03,Ewallet,22.43
873-51-0671,Yangon,Member,Sports and travel,21.98,7,161.553,Ewallet,7.693
152-08-9985,Mandalay,Member,Health and beauty,64.36,9,608.202,Credit card,28.962
512-91-0811,Naypyitaw,Normal,Health and beauty,89.75,1,94.2375,Credit card,4.4875
594-34-4444,Yangon,Normal,Electronic accessories,97.16,1,102.018,Ewallet,4.858
766-85-7061,Mandalay,Normal,Health and beauty,87.87,10,922.635,Ewallet,43.935
871-39-9221,Naypyitaw,Normal,Electronic accessories,12.45,6,78.435,Cash,3.735
865-92-6136,Yangon,Normal,Food and beverages,52.75,3,166.1625,Ewallet,7.9125
733-01-9107,Mandalay,Normal,Home and lifestyle,82.7,6,521.01,Cash,24.81
